name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
canmx,1.69897,0.5,0.69897,2.69897,1.69897,0.5,0.69897,2.69897
ch_k2,1.30103,0.424743,0.451545,2.15051,1.30103,0.424743,0.451545,2.15051
ch_n2,0.176091,0.36928,-0.562469,0.914652,0.346317,0.13455,0.0772175,0.615416
ch_s2,0.69897,0.5,-0.30103,1.69897,0.675547,0.214168,0.247212,1.10388
cn2,1.74036,0.108414,1.52353,1.95719,1.74036,0.108414,1.52353,1.95719
epco,-0.30103,0.544023,-1.38908,0.787016,-0.30103,0.544023,-1.38908,0.787016
esco,-0.30103,0.544023,-1.38908,0.787016,-0.301081,0.543958,-1.389,0.786836
flowmin,1.69897,0.75,0.19897,3.19897,1.69897,0.75,0.19897,3.19897
hk0_i:10_j:10_zone:1,1.25527,1.07526,-0.895242,3.40579,1.25527,1.07526,-0.895242,3.40579
hk0_i:10_j:30_zone:1,1,1.07526,-1.15051,3.15051,1,1.07526,-1.15051,3.15051
hk0_i:10_j:50_zone:1,-0.30103,1.07526,-2.45154,1.84949,-0.30103,1.07526,-2.45154,1.84949
hk0_i:30_j:30_zone:1,0.39794,1.07526,-1.75257,2.54846,0.39794,1.07526,-1.75257,2.54846
hk0_i:30_j:50_zone:1,0.812913,1.07526,-1.3376,2.96343,0.812913,1.07526,-1.3376,2.96343
hk0_i:50_j:30_zone:1,0.176091,1.07526,-1.97442,2.32661,0.176091,1.07526,-1.97442,2.32661
hk0_i:50_j:50_zone:1,-0.167491,1.07526,-2.31801,1.98302,-0.167491,1.07526,-2.31801,1.98302
hk0_i:70_j:50_zone:1,0.460898,1.07526,-1.68962,2.61141,0.460898,1.07526,-1.68962,2.61141
hk0_i:90_j:50_zone:1,0.217484,1.07526,-1.93303,2.368,0.217484,1.07526,-1.93303,2.368
lat_ttime,1.8451,1.04402,-0.242948,3.93314,1.8451,1.04402,-0.242948,3.93314
ov_n,1.17609,0.86928,-0.562469,2.91465,1.3809,0.0362399,1.30842,1.45338
percop,-0.30103,0.5,-1.30103,0.69897,-0.30103,0.5,-1.30103,0.69897
prf,0,0.575257,-1.15051,1.15051,0,0.575257,-1.15051,1.15051
sol_awc,-0.30103,0.5,-1.30103,0.69897,-0.299773,0.473044,-1.24586,0.646314
sol_bd,0,0.544023,-1.08805,1.08805,0,0.544023,-1.08805,1.08805
sol_k,1.30103,0.924743,-0.548455,3.15051,1.28699,0.565097,0.156798,2.41719
sol_z,3,0.11928,2.76144,3.23856,2.99964,0.119219,2.7612,3.23808
ss0_i:10_j:10_zone:1,-5.48149,1.51359,-8.50866,-2.45431,-5.48305,1.42703,-8.3371,-2.62899
ss0_i:10_j:30_zone:1,-5.48149,1.51359,-8.50866,-2.45431,-5.48305,1.42703,-8.3371,-2.629
ss0_i:10_j:50_zone:1,-5.48149,1.51359,-8.50866,-2.45431,-5.48304,1.42703,-8.3371,-2.62899
ss0_i:30_j:30_zone:1,-5.48149,1.51359,-8.50866,-2.45431,-5.48305,1.42703,-8.3371,-2.629
ss0_i:30_j:50_zone:1,-5.48149,1.51359,-8.50866,-2.45431,-5.48305,1.42703,-8.3371,-2.62899
ss0_i:50_j:30_zone:1,-5.48149,1.51359,-8.50866,-2.45431,-5.48304,1.42703,-8.3371,-2.62899
ss0_i:50_j:50_zone:1,-5.48149,1.51359,-8.50866,-2.45431,-5.48304,1.42703,-8.3371,-2.62899
ss0_i:70_j:50_zone:1,-5.48149,1.51359,-8.50866,-2.45431,-5.48304,1.42703,-8.33709,-2.62899
ss0_i:90_j:50_zone:1,-5.48149,1.51359,-8.50866,-2.45431,-5.48305,1.42703,-8.3371,-2.629
surlag,1.07918,0.67031,-0.261439,2.4198,1.07918,0.67031,-0.261439,2.4198
sy0_i:10_j:10_zone:1,-0.69897,0.944538,-2.58805,1.19011,-0.69897,0.944538,-2.58805,1.19011
sy0_i:10_j:30_zone:1,-0.455932,0.944538,-2.34501,1.43314,-0.455932,0.944538,-2.34501,1.43314
sy0_i:10_j:50_zone:1,-0.346787,0.944538,-2.23586,1.54229,-0.346787,0.944538,-2.23586,1.54229
sy0_i:30_j:30_zone:1,-0.443697,0.944538,-2.33277,1.44538,-0.443697,0.944538,-2.33277,1.44538
sy0_i:30_j:50_zone:1,-0.769551,0.944538,-2.65863,1.11952,-0.769551,0.944538,-2.65863,1.11952
sy0_i:50_j:30_zone:1,-1.09691,0.944538,-2.98599,0.792166,-1.09691,0.944538,-2.98599,0.792166
sy0_i:50_j:50_zone:1,-0.537602,0.944538,-2.42668,1.35147,-0.537602,0.944538,-2.42668,1.35147
sy0_i:70_j:50_zone:1,-0.346787,0.944538,-2.23586,1.54229,-0.346787,0.944538,-2.23586,1.54229
sy0_i:90_j:50_zone:1,-0.79588,0.944538,-2.68496,1.0932,-0.79588,0.944538,-2.68496,1.0932
